"sku","_store","_attribute_set","_type","_category","_product_websites","name","description","short_description","weight","news_from_date","news_to_date","status","url_key","visibility","gift_message_available","price","special_price","special_from_date","special_to_date","cost","tax_class_id","enable_googlecheckout","meta_title","meta_keyword","meta_description","allow_open_amount","open_amount_max","giftcard_type","is_redeemable","use_config_is_redeemable","lifetime","use_config_lifetime","allow_message","use_config_allow_message","email_template","use_config_email_template","activation_information","base_price_amount","base_price_base_amount","base_price_base_unit","base_price_unit","base_price_use","color","computer_manufacturers","contrast_ratio","country_of_manufacture","country_orgin","cpu_speed","created_at","custom_design","custom_design_from","custom_design_to","custom_layout_update","designeditor_theme_id","dimension","finish","gallery","gender","harddrive_speed","hardrive","has_options","image","image_label","in_depth","is_imported","manufacturer","max_resolution","megapixels","memory","metal","model","msrp","msrp_display_actual_price_type","msrp_enabled","open_amount_min","options_container","package_type","page_layout","processor","ram_size","required_options","response_time","room","screensize","shape","shirt_size","shoe_size","shoe_type","size","small_image","small_image_label","style","thumbnail","thumbnail_label","type","updated_at","url_path","_additional_image","_additional_image_label","qty","min_qty","use_config_min_qty","is_qty_decimal","backorders","use_config_backorders","min_sale_qty","use_config_min_sale_qty","max_sale_qty","use_config_max_sale_qty","is_in_stock","notify_stock_qty","use_config_notify_stock_qty","manage_stock","use_config_manage_stock","stock_status_changed_auto","use_config_qty_increments","qty_increments","use_config_enable_qty_inc","enable_qty_increments","_giftcard_amounts_website","_giftcard_amounts_amount","_links_related_sku","_links_related_position","_links_crosssell_sku","_links_crosssell_position","_links_upsell_sku","_links_upsell_position","_associated_sku","_associated_default_qty","_associated_position","_tier_price_website","_tier_price_customer_group","_tier_price_qty","_tier_price_price","_custom_option_store","_custom_option_type","_custom_option_title","_custom_option_is_required","_custom_option_price","_custom_option_sku","_custom_option_max_characters","_custom_option_sort_order","_custom_option_row_title","_custom_option_row_price","_custom_option_row_sku","_custom_option_row_sort","_super_products_sku","_super_attribute_code","_super_attribute_option","_super_attribute_price_corr"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","default","","","","","","","","No thanks, I have my own chain","","","","","","",""
"GBP001","","Default","simple","SHOP BY MATERIAL/9ct Gold Photo Pendants","base","9ct Yellow Gold Medium Hexagon Photo Pendant with Diamond Cut","<p><span style=""font-size: medium;""><strong>Medium hexagon/square picture engraved pendant in solid 9ct Yellow Gold with Diamond Cut Edge</strong></span></p>
<ul>
<li><span style=""font-size: medium; font-family: georgia, palatino;"">21x26 mm + 10mm loop</span></li>
<li><span style=""font-size: medium; font-family: georgia, palatino;"">0,35 mm thick</span></li>
<li><span style=""font-size: medium; font-family: georgia, palatino;"">2 g gold weight</span></li>
<li><span style=""font-size: medium; font-family: georgia, palatino;"">UK Hallmarked</span></li>
<li><span style=""font-size: medium; font-family: georgia, palatino;"">with elegant gift box</span></li>
</ul>
<p id=""mf120""><span id=""mf121"" style=""font-size: medium; font-family: georgia, palatino;"">Ready in&nbsp;<strong>5&nbsp;working days&nbsp;</strong>or sooner</span></p>
<ul>
</ul>
<ul>
</ul>","<p><span style=""font-size: medium; font-family: georgia, palatino;"">Medium square/hexagon &nbsp;custom photo etched pendant/charm in solid 9ct Yellow Gold with diamond cut edge and UK Hallmark. Personalize your charm even more with picture or message engraved on reverse.</span></p>
<ul>
<li><span style=""font-family: georgia, palatino; font-size: medium;"">Material: 9ct Gold</span></li>
<li><span style=""font-family: georgia, palatino; font-size: medium;"">Shape: hexagon</span></li>
<li><span style=""font-family: georgia, palatino; font-size: medium;"">Size: medium</span></li>
<li><span style=""font-family: georgia, palatino; font-size: medium;"">Gold weight: 2g&nbsp;</span></li>
</ul>","1.9000","2011-07-29 00:00:00","2013-05-31 00:00:00","1","photo-jewellery-pendant-9ct-gold-medium-hexagon","4","0","129.9500","","","","29.0000","2","0","9ct Gold Medium Hexagon Photo Charm/ Pendant - Picture Engraved Jewellery","","Medium square/hexagon 9ct Gold personalized photo etched pendant/charm with diamond cut edge. Lifetime warranty and FREE worldwide shipping . Add a chain, engraved message and multiple pictures to personalize it even more.","","","","","","","","","","","","","","","","","","","","","","","","2011-08-29 13:56:55","","","","","11","","","","","","","1","/g/o/gold-photo-jewellery-engraved-pendant-hexagon-b.jpg","","","Yes","","","","","9CT Y","","","","","","Block after Info Column","","2 columns with right bar","","","1","","","","HEXA","","","","MED","/g/o/gold-photo-jewellery-engraved-pendant-hexagon-b.jpg","","D/CUT","/g/o/gold-photo-jewellery-engraved-pendant-hexagon-b.jpg","","PENDANT","2012-10-09 12:54:23","photo-jewellery-pendant-9ct-gold-medium-hexagon.html","","","0.0000","0","1","0","0","1","1.0000","1","10000","1","0","1","1","0","1","1","1","1","1","0","","","","","","","SEP002","0","","","","","","","","","field","I wish to have message engraved on reverse","0","10.0000","MESSAGE","40","4","","","","","","","",""
"","","","","PHOTO ENGRAVED PENDANTS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","GEP001","0","","","","","","","","","radio","I have a photo with multiple people or several separate photos","1","","","","2","No thanks, only 1 person / 1 photo on one side","0.0000","","1","","","",""
"","","","","PHOTO ENGRAVED PENDANTS/Gold Photo Pendants","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","GB003","0","","","","","","","","","","","","","","","","2 people / 2 photos on front","15.0000","2PHOTO","2","","","",""
"","","","","SHOP BY STYLE/Diamond Cut Pendants","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","GE003","0","","","","","","","","","","","","","","","","3 people / 3 photos on front","30.0000","3PHOTO","3","","","",""
"","","","","PHOTO PENDANTS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","default","","","","","","","","2 people / 2 photos on front","","","","","","",""
"","","","","SHOP BY STYLE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","default","","","","","","","","3 people / 3 photos on front","","","","","","",""
"","","","","SHOP BY MATERIAL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","radio","I wish to have photo engraved on reverse (holographic finish only)","1","","","","3","No thanks, I only want photo on front","0.0000","","1","","","",""
"","","","","SHOP BY SHAPE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Yes, please 1 person /1 photo on back","20.0000","DOUBLE","2","","","",""
"","","","","SHOP BY SHAPE/Hexagon Photo Pendants","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Yes, please 2 people / 2 photos on back","30.0000","DOUBLE2","3","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","default","","","","","","","","Yes, please 1 person /1 photo on back","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","default","","","","","","","","Yes, please 2 people / 2 photos on back","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","radio","I choose the following finish ","1","","","","1","Hologram - detailed engraving with a holographic effect","0.0000","","1","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Black & White - enameling in black & white and high detail","0.0000","","2","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Colour - enameling in full vibrant colour and high detail","0.0000","","3","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","default","","","","","","","","Black & White - enameling in black & white and high detail","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","default","","","","","","","","Colour - enameling in full vibrant colour and high detail","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","radio","NB! Please provide good quality photos as they are essential ( JPEG, JPG, PDF, TIF, GIF format )","1","","","","7","I am sending photos in via e-mail to info@photo-images.net","0.0000","","1","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","I am sending photos in via regular post to 86 Langley Way, WD17 3EF","0.0000","","2","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","default","","","","","","","","I am sending photos in via regular post to 86 Langley Way, WD17 3EF","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","area","My instructions ( date needed by / only man on photo etc. )","0","0.0000","","0","6","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","radio","I also need a chain for my pendant","1","","","","5","18 inch 9ct Gold Prince of Wales chain","39.9500","CHAIN9CT","1","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No thanks, I have my own chain","0.0000","","2","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","default","","","","","","","","No thanks, I have my own chain","","","","","","",""
"GGP001","","Default","simple","SHOP BY MATERIAL/9ct Gold Photo Pendants","base","9ct Yellow Gold Large Heart Photo Pendant with Diamond Cut","<p><span style=""font-size: medium;""><strong>Large heart picture engraved pendant in solid 9ct Yellow Gold with Diamond Cut Edge</strong></span></p>
<ul>
<li><span style=""font-family: georgia, palatino; font-size: medium;"">34x31 mm + 10mm loop</span></li>
<li><span style=""font-family: georgia, palatino; font-size: medium;"">0,46 mm thick</span></li>
<li><span style=""font-family: georgia, palatino; font-size: medium;"">3,7 g gold weight</span></li>
<li><span style=""font-family: georgia, palatino; font-size: medium;"">UK Hallmarked</span></li>
<li><span style=""font-family: georgia, palatino; font-size: medium;""><span id=""mf119"">with elegant gift b</span>ox</span></li>
</ul>
<p id=""mf120""><span id=""mf121"" style=""font-size: medium;"">Ready in<strong id=""mf120"">&nbsp;5&nbsp;working days</strong>&nbsp;or sooner</span></p>
<ul>
</ul>","<p><span style=""font-size: medium; font-family: georgia, palatino;"">Large heart custom photo etched pendant/charm in solid 9ct Yellow Gold with diamond cut edge and UK Hallmark. Personalize your charm even more with picture or message engraved on reverse.</span></p>
<ul>
<li><span style=""font-family: georgia, palatino; font-size: medium;"">Material: 9ct Gold</span></li>
<li><span style=""font-family: georgia, palatino; font-size: medium;"">Shape: heart</span></li>
<li><span style=""font-family: georgia, palatino; font-size: medium;"">Size: large</span></li>
<li><span style=""font-family: georgia, palatino; font-size: medium;"">Gold weight: 3,7g&nbsp;</span></li>
</ul>","1.9000","2011-07-01 00:00:00","2011-10-07 00:00:00","1","photo-jewellery-pendant-9ct-gold-large-heart","4","0","169.9500","","","","50.0000","2","0","9ct Gold Large Heart Photo Charm/ Pendant - Picture Engraved Jewellery","","Large heart 9ct Gold personalized photo etched pendant/charm with diamond cut edge. UK Hallmark, lifetime warranty and FREE worldwide shipping . Add a chain, engraved message and multiple pictures to personalize it even more.","","","","","","","","","","","","","","","","","","","","","","","","2011-08-29 14:07:35","","","","","11","","","","","","","1","/g/o/gold-photo-jewellery-engraved-pendant-heart-m.jpg","9ct Gold Photo Engraved Jewellery/Pendant - Large Heart","","Yes","","","","","9CT Y","","","","","","Block after Info Column","","2 columns with right bar","","","1","","","","HEART","","","","LARGE","/g/o/gold-photo-jewellery-engraved-pendant-heart-m.jpg","9ct Gold Photo Engraved Jewellery/Pendant - Large Heart","D/CUT","/g/o/gold-photo-jewellery-engraved-pendant-heart-m.jpg","9ct Gold Photo Engraved Jewellery/Pendant - Large Heart","PENDANT","2012-10-09 11:41:04","photo-jewellery-pendant-9ct-gold-large-heart.html","","","0.0000","0","1","0","0","1","1.0000","1","10000","1","0","1","1","0","1","1","1","1","1","0","","","","","","","SGP002","0","","","","","","","","","field","I wish to have message engraved on reverse","0","10.0000","MESSAGE","40","4","","","","","","","",""
"","","","","SHOP BY MATERIAL/9ct Gold Photo Pendants/Heart Photo Pendants in 9ct Gold","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","GHP001","0","","","","","","","","","radio","I have a photo with multiple people or several separate photos","1","","","","2","No thanks, only 1 person / 1 photo on one side","0.0000","","1","","","",""
"","","","","PHOTO ENGRAVED PENDANTS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","GG003","0","","","","","","","","","","","","","","","","2 people / 2 photos on front","15.0000","2PHOTO","2","","","",""
"","","","","PHOTO ENGRAVED PENDANTS/Gold Photo Pendants","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","GH003","0","","","","","","","","","","","","","","","","3 people / 3 photos on front","30.0000","3PHOTO","3","","","",""
"","","","","SHOP BY SHAPE/Heart Photo Pendants","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","default","","","","","","","","2 people / 2 photos on front","","","","","","",""
"","","","","SHOP BY STYLE/Diamond Cut Pendants","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","default","","","","","","","","3 people / 3 photos on front","","","","","","",""
"","","","","PHOTO PENDANTS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","radio","I wish to have photo engraved on reverse (holographic finish only)","1","","","","3","No thanks, I only want photo on front","0.0000","","1","","","",""
"","","","","SHOP BY STYLE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Yes, please 1 person / 1 photo on back","20.0000","DOUBLE","2","","","",""
"","","","","SHOP BY MATERIAL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Yes, please 2 people  / 2 photos on back","30.0000","DOUBLE 2","3","","","",""
"","","","","SHOP BY SHAPE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","default","","","","","","","","Yes, please 1 person / 1 photo on back","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","default","","","","","","","","Yes, please 2 people  / 2 photos on back","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","radio","I choose the following finish ","1","","","","1","Hologram - detailed engraving with a holographic effect","0.0000","","1","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Black & White - enameling in black & white and high detail","0.0000","","2","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Colour - enameling in full vibrant colour and high detail","0.0000","","3","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","default","","","","","","","","Black & White - enameling in black & white and high detail","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","default","","","","","","","","Colour - enameling in full vibrant colour and high detail","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","radio","NB! Please provide good quality photos as they are essential (JPEG, JPG, PDF, GIF, TIF format)","1","","","","7","I am sending photos in via e-mail to info@photo-images.net","0.0000","","1","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","I am sending photos in via regular post to 86 Langley Way, WD17 3EF","0.0000","","2","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","default","","","","","","","","I am sending photos in via regular post to 86 Langley Way, WD17 3EF","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","area","My instructions ( date needed by / only man from photo etc. )","0","0.0000","","0","6","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","radio","I also need a chain for my pendant","1","","","","5","18 inch 9ct Gold Prince of Wales chain","39.9500","CHAIN9CT","1","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No thanks, I have my own chain","0.0000","","2","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","default","","","","","","","","No thanks, I have my own chain","","","","","","",""
"GJP001","","Default","simple","SHOP BY MATERIAL/9ct Gold Photo Pendants","base","9ct Yellow Gold Small Round Photo Pendant with Diamond Cut","<p><span style=""font-size: medium;""><strong>Custom small round picture engraved pendant in solid 9ct Yellow Gold with Diamond Cut Edge</strong></span></p>
<ul>
<li><span style=""font-family: georgia, palatino; font-size: medium;"">22 mm + 10mm loop</span></li>
<li><span style=""font-family: georgia, palatino; font-size: medium;"">0,32 mm thick</span></li>
<li><span style=""font-family: georgia, palatino; font-size: medium;"">1,6 g gold weight</span></li>
<li><span style=""font-family: georgia, palatino; font-size: medium;"">UK Hallmarked</span></li>
<li><span style=""font-family: georgia, palatino; font-size: medium;"">with elegant gift box</span></li>
</ul>
<p><span style=""font-family: georgia, palatino; font-size: medium;"">Ready in <strong>5&nbsp;working days</strong>&nbsp;or sooner</span></p>
<ul>
</ul>
<ul>
</ul>","<p><span style=""font-size: medium; font-family: georgia, palatino;"">Small round custom photo etched pendant/charm in solid 9ct Yellow Gold with diamond cut edge and UK Hallmark. Personalize your charm even more with picture or message engraved on reverse.</span></p>
<ul>
<li><span style=""font-family: georgia, palatino; font-size: medium;"">Material: 9ct Gold</span></li>
<li><span style=""font-family: georgia, palatino; font-size: medium;"">Shape: round</span></li>
<li><span style=""font-family: georgia, palatino; font-size: medium;"">Size: small</span></li>
<li><span style=""font-family: georgia, palatino; font-size: medium;"">Gold weight: 1,6g&nbsp;</span></li>
</ul>","1.9000","2014-05-01 00:00:00","2015-05-31 00:00:00","1","photo-jewellery-pendant-9ct-gold-small-circle","4","0","79.9500","","","","","2","0","9ct Gold Small Round Photo Charm/ Pendant - Picture Engraved Jewellery","","Small round 9ct Gold personalized photo etched pendant/charm with diamond cut edge. UK Hallmark, lifetime warranty and free worldwide shipping . Add a chain, engraved message and multiple pictures to personalize it even more.","","","","","","","","","","","","","1.9000","","KG __long","KG __long","No","","","","","","","2011-08-29 14:10:01","","","","","11","","","","","","","1","/g/o/gold-photo-engraved-pendant-m-s_1.jpg","","","Yes","","","","","9CT Y","","","Use config","Use config","","Block after Info Column","","2 columns with right bar","","","1","","","","CIRCLE","","","","SMALL","/g/o/gold-photo-engraved-pendant-m-s_1.jpg","","D/CUT","/g/o/gold-photo-engraved-pendant-m-s_1.jpg","","PENDANT","2014-07-02 10:22:22","photo-jewellery-pendant-9ct-gold-small-circle.html","","","0.0000","0","1","0","0","1","1.0000","1","10000","1","0","1","1","0","1","1","1","1","1","0","","","","","","","SCP002","0","","","","","","","","","field","I wish to have message engraved on reverse","0","10.0000","MESSAGE","40","4","","","","","","","",""
"","","","","SHOP BY MATERIAL/9ct Gold Photo Pendants/Round Photo Pendants in 9ct Gold","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","GCP001","0","","","","","","","","","radio","I have a photo with multiple people or several separate photos","1","","","","2","No thanks, only 1 person / 1 photo on one side","0.0000","","1","","","",""
"","","","","PHOTO ENGRAVED PENDANTS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","GF001","0","","","","","","","","","","","","","","","","2 people / 2 photos","15.0000","2PHOTO","2","","","",""
